"mydate","v1","v2","v3","v4","v5","v6","mys"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-10,"02","18","20","28","31","32","05"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
2021-06-14,"06","08","16","27","28","38","04"
